Sr No,Date,Startup,Vertical,SubVertical,City,Investors,Investment Round,Amount in INR(cr)
246,2018-06-19,rentsher,Consumer Internet,Online Lending Platform,bangalore,"shorooq investments, letsventure & others",seed/angel funding,9.53
247,2018-06-20,drip capital,Finance,Online Lending Platform,mumbai,"accel partners, sequoia india, y combinator and others.",private equity,129.9
248,2018-06-22,wickedride,Consumer Internet,Online Lending Platform,bangalore,"sequoia capital, accel partners & raghunandan gangappa",private equity,78.81
249,2018-06-25,policybazaar,Consumer Internet,Online Lending Platform,gurgaon,softbank vision fund & info edge (india) ltd,private equity,1732.0
250,2018-06-25,hipbar,Consumer Internet,Online Lending Platform,bangalore,diageo india,private equity,34.64
251,2018-06-25,sqqrl,Finance,Online Lending Platform,gurgaon,equanimity venture fund,seed/angel funding,8.66
252,2018-06-26,paytm,Technology,Data Analytics Platform,noida,one 97 communications,private equity,77.51
253,2018-06-26,sigtuple,Healthcare,A Doctor-Patient Engagement Platform,bangalore,"accel partners, idg venture, endiya partners, pi ventures, vh capital, a ventures and binny bansal",private equity,164.54
254,2018-06-27,wow express,Technology,Data Analytics Platform,mumbai,undisclosed e investors as well as the tamarind family trust,private equity,38.97
255,2018-06-28,front desk ai,Technology,Data Analytics Platform,bangalore,speciale invest & others,seed/angel funding,9.53
256,2018-06-28,edureka,Ed-Tech,Online Education Platform,bangalore,leo capital,seed/angel funding,17.32
257,2018-06-29,numeroseven,Technology,Data Analytics Platform,kolkata,shiva gunapu & others,seed/angel funding,
258,2018-05-02,opentap,Finance,Online Lending Platform,chennai,unknown high net-worth individuals,seed / angel funding,3.9
259,2018-05-02,bizongo,Consumer Internet,Online Lending Platform,mumbai,"b capital, international finance corporation (ifc), accel partners and idg ventures",private equity,190.52
260,2018-05-03,disprz,It,Saas,chennai,"il&fs private equity, kae capital & others",seed / angel funding,21.65
261,2018-05-07,paisadukan,Consumer Internet,Online Lending Platform,mumbai,undisclosed,seed / angel funding,1.95
262,2018-05-09,i3sysytems,Technology,Data Analytics Platform,mumbai,"unitus ventures, behram vakil and jer vandrevala",seed / angel funding,8.66
263,2018-05-11,earth food,Consumer Internet,Online Lending Platform,pune,rairah corporation,seed / angel funding,8.22
264,2018-05-14,nykaa,Consumer Internet,Online Lending Platform,mumbai,"sunil munjal, harsh mariwala, dalip pathak and others",private equity,207.84
265,2018-05-16,mfine,Healthcare,A Doctor-Patient Engagement Platform,bangalore,"prime venture partners, stellaris venture partners and mayur abhaya srisrimal",private equity,36.37
266,2018-05-21,rocketium,Technology,Data Analytics Platform,bangalore,blume ventures,seed/angel funding,2.6
267,2018-05-21,milkbasket,Technology,Data Analytics Platform,gurgaon,"kalaari capital, unilever ventures and blume ventures",private equity,60.62
268,2018-05-22,vola,Finance,Online Lending Platform,bangalore,credika and unnamed angel investors,seed/angel funding,4.33
269,2018-05-22,cashkumar,Consumer Internet,Online Lending Platform,bangalore,letsventure,seed/angel funding,6.37
270,2018-05-23,edyoo,E-commerce,Retail,bangalore,rs shanbag,seed/angel funding,6.37
271,2018-05-23,aashiyaan,Finance,Online Lending Platform,kolkata,"insistor, oikocredit",seed/angel funding,17.32
272,2018-05-24,smartivity,Ed-Tech,Online Education Platform,delhi,"ashish kacholi, s chand group",seed/angel funding,17.32
273,2018-05-24,bonphulapl,Clean-Tech,Oxygen Optimiser Manufacturer,delhi,atul gupta and saurabh rastogi,seed/angel funding,2.54
274,2018-05-27,acko,Consumer Internet,Online Lending Platform,mumbai,"amazon, ashish dhawan, catamaran ventures, nr narayana murthy.",seed/angel funding,103.92
275,2018-05-28,hwell24,Healthcare,A Doctor-Patient Engagement Platform,mumbai,"prashant mehta, mitali pawar, nikhil g and bhavesh p, r ranganathan, oncotrust and medintel services pvt. ltd",seed/angel funding,1.73
276,2018-05-29,toffee,Consumer Internet,Online Lending Platform,gurgaon,"kalaari capital, omidyar network and accion venture labs",seed/angel funding,12.99
277,2018-05-29,tonetag,Technology,Data Analytics Platform,bangalore,amazon inc. and mastercard,private equity,69.28
278,2018-05-30,events high,Consumer Internet,Online Lending Platform,bangalore,treebo,private equity,
279,2018-05-30,stellaps,Technology,Data Analytics Platform,bangalore,"indusage partners, bill & melinda gates foundation, qualcomm venture, abb technology ventures, omnivore, blume ventures, venture highway and beenext",private equity,121.24
280,2018-05-31,credright,Consumer Internet,Online Lending Platform,hyderabad,"accion venture lab, yournest venture capital and other angel investors",seed/angel funding,11.26
281,2018-04-02,fitternity,Consumer Internet,Online Lending Platform,mumbai,"e venture, saha fund partners, arihant patni of patni family office, anjali bansal, shardul amarchand mangaldas, satish khanna and taparia family office.",private equity,17.32
282,2018-04-02,synctag,Technology,Data Analytics Platform,coimbatore,subhkam ventures and mohit khadaria,seed / angel funding,2.66
283,2018-04-02,benepik,Technology,Data Analytics Platform,gurgaon,"vishal bali, yogesh misra, thomas assessments and others",seed / angel funding,
284,2018-04-02,finzy,Consumer Internet,Online Lending Platform,bangalore,undisclosed,seed / angel funding,11.26
285,2018-04-04,varthana,Finance,Online Lending Platform,bangalore,"chryscapital, e investors, elevar equity, lgt impact, omidyar network and kaizen private equity also participated in the round",private equity,476.3
286,2018-04-05,indigolearn,Ed-Tech,Online Education Platform,hyderabad,"maheshwar peri, founder and chairman of career information portal careers360, and jamshed jeejeebhoy, director at byramjee jeejeebhoy pvt. ltd were among the angels",seed / angel funding,1.3
287,2018-04-05,vedantu,Ed-Tech,Online Education Platform,bangalore,"accel partners, tiger global and others",private equity,86.6
288,2018-04-09,kaleidofin,Fiinance,Digital Financial Services Platform,chennai,omidyar network. blume ventures and professor shlomo ben-haim,seed / angel funding,24.25
289,2018-04-09,pipabella,Consumer Internet,Online Lending Platform,mumbai,fireside ventures,seed / angel funding,8.66
290,2018-04-09,elemential,Technology,Data Analytics Platform,mumbai,"matrix partner, amrish rau, investopad, digital currency group, hinduja group, lightspeed india, eight innovate, amit ranjan, prashant malik and others",seed / angel funding,
291,2018-04-09,kriger campus,Ed-Tech,Online Education Platform,delhi,undisclosed,seed / angel funding,0.4
292,2018-04-10,loanzen,Finance,Online Lending Platform,bangalore,kae capital management,seed / angel funding,
293,2018-04-10,traveltriangle,Consumer Internet,Online Lending Platform,gurgaon,"fundamentum, saif partners, bessemer venture partners, rb investments & others",private equity,103.92
294,2018-04-12,letsmd,Healthcare,A Doctor-Patient Engagement Platform,delhi,"sri capital, waterbridge ventures and thinkuvate",seed / angel funding,8.66
295,2018-04-12,ayefinance,Finance,Online Lending Platform,gurgaon,"blueorchard finance ltd, hinduja leyland finance and intellegrow",debt funding,39.84
296,2018-04-13,mintifi,Finance,Online Lending Platform,mumbai,lok capital,seed / angel funding,17.32
297,2018-04-16,icanstay,Consumer Internet,Online Lending Platform,delhi,mr. manoj prasad,seed / angel funding,4.33
298,2018-04-16,pregbuddy,Healthcare,A Doctor-Patient Engagement Platform,bangalore,"rajan anandan, madhusudhan kannan, jayant kadambi, puneet gupta and pradeep k jaisingh",seed / angel funding,
299,2018-04-18,coverfox,Consumer Internet,Online Lending Platform,mumbai,"international finance corporation, transamerica and others.",private equity,190.52
300,2018-04-19,lenskart,Consumer Internet,Online Lending Platform,faridabad,tr capital,private equity,
301,2018-04-19,mamaearth,Healthcare,A Doctor-Patient Engagement Platform,gurgaon,shilpa shetty kundra,private equity,
302,2018-04-19,fyle technologies,Technology,Data Analytics Platform,bangalore,pravega ventures and beenext,seed / angel funding,9.53
303,2018-04-19,true balance,Technology,Data Analytics Platform,gurgaon,"line ventures corporation, line corp, naver, shinhan bank and ts investment",private equity,199.18
304,2018-04-22,visit,Healthcare,A Doctor-Patient Engagement Platform,delhi,"biz stone, kunal bahl, rohit bansal, alagu periyannan and karthee madasamy",private equity,
305,2018-04-22,doxper,Healthcare,A Doctor-Patient Engagement Platform,mumbai,vidal healthcare,seed / angel funding,16.45
306,2018-04-22,nykaa,Consumer Internet,Online Lending Platform,mumbai,"sunil munjal, harsh mariwala, dalip pathak and others",private equity,95.26
307,2018-04-23,mihuru,Finance,Online Lending Platform,mumbai,undisclosed,seed / angel funding,1.3
308,2018-04-23,capital float,Finance,Online Lending Platform,bangalore,amazon,private equity,190.52
309,2018-04-25,trip shelf,Consumer Internet,Online Lending Platform,delhi,"gems advisory, alok mittal and sachin bhatia",seed / angel funding,2.13
310,2018-04-26,popxo,Technology,Data Analytics Platform,delhi,"neoplux, oppo, idg ventures india, kalaari capital, gree ventures and summit media",private equity,47.63
311,2018-04-26,railyatri,Consumer Internet,Online Lending Platform,noida,"omidyar network, nandan nilekani, blume ventures, helion venture partners",private equity,
312,2018-04-27,1mg,Consumer Internet,Online Lending Platform,gurgaon,"sequoia capital, maverick capital ltd and hbm healthcare investments ltd",private equity,86.6
313,2018-04-29,rubique,Consumer Internet,Online Lending Platform,mumbai,"emery capital, blacksoil and kalaari capital",private equity,
314,2018-04-30,samco,Consumer Internet,Online Lending Platform,mumbai,bay capital investments and others,private equity,64.95
315,2018-04-30,myloancare,Finance,Online Lending Platform,gurgaon,sar group,seed / angel funding,8.47
316,2018-03-01,pharmeasy,Consumer Internet,Online Lending Platform,mumbai,"bessemer venture partners and orios venture partners, jm financials and memg",private equity,
317,2018-03-01,buddy4studdy,Consumer Internet,Online Lending Platform,noida,cba capital and others,private equity,25.98
318,2018-03-01,urban ladder,E-commerce,Retail,bangalore,"sequoia capital, saif partners and kalaari capital",private equity,103.92
319,2018-03-03,kuvera,Consumer Internet,Online Lending Platform,bangalore,"baskar subramanian, saket kumar, gaurav suri and ankit kesarwani",seed / angel funding,2.16
320,2018-03-04,gramophone,Technology,Data Analytics Platform,indore,infoedge,seed/angel funding,8.66
321,2018-03-05,wellthy,Healthcare,A Doctor-Patient Engagement Platform,mumbai,"ranjan pai, apoorva patni, beenext ventures,growx ventures",private equity,18.19
322,2018-03-05,medgenome,Healthcare,A Doctor-Patient Engagement Platform,bangalore,"hdfc life, hdfc asset management",private equity,86.6
323,2018-03-05,finova capital,Consumer Internet,Online Lending Platform,jaipur,sequoia capital,private equity,51.96
324,2018-03-05,hotelogix,Technology,Data Analytics Platform,noida,"vertex ventures, accel partners and saama capital",private equity,43.3
325,2018-03-04,livehealth,Consumer Internet,Online Lending Platform,pune,ne venture partners,seed / angel funding,9.53
326,2018-03-06,ad2pro,Technology,Data Analytics Platform,chennai,avendus finance pvt. ltd,debt funding,84.0
327,2018-03-06,coverfox,Consumer Internet,Online Lending Platform,mumbai,aegon nv,private equity,65.82
328,2018-03-08,pepperfry,Consumer Internet,Online Lending Platform,mumbai,state street global advisors,private equity,332.54
329,2018-03-08,magicpin,Consumer Internet,Online Lending Platform,gurgaon,trifecta capital,debt funding,8.66
330,2018-03-12,healthcare,Consumer Internet,Online Lending Platform,mumbai,hr fund,seed / angel funding,8.66
331,2018-03-13,pinelabs,Technology,Data Analytics Platform,mumbai,"actis, altimeter capital",private equity,710.12
332,2018-03-14,stumagz,Consumer Internet,Online Lending Platform,hyderabad,"venkat subramanian, sudhakar pennam, and other tech investors from silicon valley",seed / angel funding,
333,2018-03-14,availfinance,Consumer Internet,Online Lending Platform,bangalore,"matrix partners, bhavish aggarwal, ankit bhati, binny bansal, kunal shah and manish patel.",private equity,148.95
334,2018-03-15,grofers,Consumer Internet,Online Lending Platform,gurgaon,"softbank, tiger global and apoletto managers.",private equity,536.92
335,2018-03-19,fingerlix,Consumer Internet,Online Lending Platform,mumbai,alteria capital,debt funding,11.34
336,2018-03-19,karma healthcare,Healthcare,A Doctor-Patient Engagement Platform,udaipur,"1crowd, ankur capital",seed / angel funding,4.33
337,2018-03-19,zappfresh,Food & Beverages,Healthy Snacks Manufacturer,gurgaon,"amit burman, sidbi venture capital",seed / angel funding,25.98
338,2018-03-19,customersucessbox,Technology,Data Analytics Platform,gurgaon,"pi ventures, a ventures",seed / angel funding,8.66
339,2018-03-20,one labs,Consumer Internet,Online Lending Platform,undisclosed,micromax informatics ltd,private equity,
340,2018-03-21,gigindia,Consumer Internet,Online Lending Platform,pune,"jessica wong, hiro mashita,  manzi and yiyun zhang.",seed / angel funding,
341,2018-03-22,chargebee,Technology,Data Analytics Platform,chennai,"insight venture partners, accel partners and tiger global management.",private equity,155.88
342,2018-03-22,i2i funding,Consumer Internet,Online Lending Platform,noida,sucseed venture partners,seed / angel funding,6.65
343,2018-03-22,slang labs,Technology,Data Analytics Platform,bangalore,endiya partners,seed / angel funding,10.74
344,2018-03-22,urbanpiper,Technology,Data Analytics Platform,bangalore,"kumar vembu, a ventures",seed / angel funding,
345,2018-03-26,cash suvidha,Consumer Internet,Online Lending Platform,delhi,"initia holdings,vipin agarwal and others.",seed / angel funding,8.66
346,2018-03-28,roadcast,Technology,Data Analytics Platform,delhi,undisclosed,private equity,2.16
347,2018-03-28,smartcoin,Finance,Online Lending Platform,bangalore,"accion venture lab, unicorn india ventures and isme ace.",seed / angel funding,17.32
348,2018-03-27,the print,Media,News Portal,delhi,ratan tata,seed / angel funding,4.63
349,2018-03-27,driveu,Technology,Data Analytics Platform,bangalore,amit singhal and unitus seed fund,private equity,25.98
350,2018-03-29,fynd,Consumer Internet,Online Lending Platform,mumbai,"google, kae capital, iifl, singularity ventures, growx, tracxn labs, venture catalyst, patni family office and a capital.",seed / angel funding,
