Sr No,Date,Startup,Vertical,SubVertical,City,Investors,Investment Round,Amount in INR(cr)
881,2017-04-11,sports flashes,Consumer Internet,Online Lending Platform,delhi,"sushil kumar, sandeep singh",seed funding,
882,2017-04-12,clovia,E-commerce,Online Pharmacy,delhi,"ivycap ventures advisors, singularity ventures and ravi dhariwal",private equity,34.64
883,2017-04-12,emiza,Logistics,B2B Logistics Provider,mumbai,"mayfield, nishant rao, dileep nath",private equity,38.97
884,2017-04-12,hackerearth,Consumer Internet,Online Lending Platform,bangalore,"dhi group inc, prime venture partners, beenext, beenos, digital garage, bizreach",private equity,38.97
885,2017-04-12,squadrun,Technology,Data Analytics Platform,noida,"blume ventures, contrarian capital, 91springboard, emergent ventures, abstract ventures, anthill ventures, a ventures",private equity,18.19
886,2017-04-12,tinmen,Consumer Internet,Online Lending Platform,hyderabad,"mape advisory group, r ramaraj, corvus ventures",seed funding,
887,2017-04-12,scoutmytrip,Consumer Internet,Online Lending Platform,mumbai,z nation lab,seed funding,
888,2017-04-13,safetykart,E-commerce,Online Pharmacy,gurgaon,redcliffe capital,private equity,
889,2017-04-13,weareholidays,Consumer Internet,Online Lending Platform,gurgaon,"urrshila kerkar,",private equity,66.68
890,2017-04-14,ola cabs,Consumer Internet,Online Lending Platform,bangalore,simi pacific pte,private equity,2251.6
891,2017-04-15,myly,Consumer Internet,Online Lending Platform,jaipur,mall industries development bank of india (sidbi),seed funding,2.68
892,2017-04-17,credihealth,Consumer Internet,Online Lending Platform,gurgaon,"tolaram inc, mountain pine capital",private equity,12.99
893,2017-04-17,navia life care,Technology,Data Analytics Platform,delhi,benori ventures llp,seed funding,
894,2017-04-17,raw pressery,Food & Beverages,Healthy Snacks Manufacturer,mumbai,jacqueline fernandez,seed funding,
895,2017-04-17,snackible,Food & Beverages,Healthy Snacks Manufacturer,mumbai,"nibhrant shah, anandbir singh, anirudh sheth, pratik singhi, vikram mehta, murali nair",seed funding,1.52
896,2017-04-17,be u salons,Consumer Internet,Online Lending Platform,delhi,"gaurav kachru, sundeep singh sahni, jatin aneja, arun malhotra",seed funding,5.37
897,2017-04-17,simulanis,Consumer Internet,Online Lending Platform,delhi,village capital,seed funding,
898,2017-04-17,lendingkart,Consumer Internet,Online Lending Platform,ahmedabad,anicut capital,private equity,40.27
899,2017-04-18,innefu security consulting,Technology,Data Analytics Platform,delhi,indianivesh venture capital fund,private equity,17.32
900,2017-04-18,whodat,Technology,Data Analytics Platform,bangalore,ideaspring capital,private equity,5.2
901,2017-04-18,absentia vr,Technology,Data Analytics Platform,bangalore,e venture partners,private equity,10.82
902,2017-04-19,iotrek,Technology,Data Analytics Platform,delhi,undisclosed investor,seed funding,1.34
903,2017-04-20,holachef,Consumer Internet,Online Lending Platform,mumbai,"sidbi venture capital ltd, kalaari capital",private equity,25.98
904,2017-04-20,wooplr,E-commerce,Online Pharmacy,bangalore,ankit nagori,private equity,
905,2017-04-21,video ken,Consumer Internet,Online Lending Platform,bangalore,"ravi garikipati, surot chatterjee, ashish agrawal, lg chandrasekhar, sashi reddi",seed funding,8.66
906,2017-04-24,faasos,Food & Beverage,Qsr Chain,pune,"ligthbox ventures ii, lightbox e fund, sequoia capital india, runet south asia, rb investments",private equity,54.56
907,2017-04-24,oyo rooms,Consumer Internet,Online Lending Platform,gurgaon,"softbank vision fund, lightspeed venture partners, sequoia capital india advisors, greenoaks capital partners",private equity,2165.0
908,2017-04-24,toppr,Consumer Internet,Online Lending Platform,mumbai,wgg international,private equity,27.71
